priority,company,base_city,region,destinations,phone,email,website,collection_offering,published_collection_price,verification,why_fit,call_status,contact_person,notes
1,Coedma Freight Intl Ltd,Leicester,East Midlands,"Zimbabwe, South Africa, Botswana",01162518827 / 07568066633,info@coedmafreight.com,https://coedmafreight.com,Outsources collection to DPD Local,"£20-30/box, £50-70/drum",verified-source,"ALREADY PAYS a third party (DPD) for collection — zero behaviour change to switch to Faira; drums £50-70 collection is above Faira's price; Zimbabwe corridor",,,
2,Manc Global Logistics,Manchester,North West,Ghana,0161 818 9600 / 0208 133 3909,hello@manclogistics.co.uk,https://www.manclogistics.co.uk,Own dedicated van service,"£150 + £1.80/mile",verified-source,"Their in-house van collection costs 4-5x Faira's £27-45 — strongest cost-replacement pitch in the list; price list current (June 2026)",,,
3,Excess Luggage,Hounslow (Heathrow),London,"Zimbabwe (Harare, Bulawayo) + worldwide",0800 096 38 39,info@excessluggage.co.uk,https://www.excessluggage.co.uk,Doorstep collection advertised,£35 UK mainland,verified-3-0,"Zimbabwe barrels/drums; £35 collection fee sits exactly in Faira's band — like-for-like replacement; 6-8wk sea freight model",,,
4,West Indies Direct,Romford,London/Essex,"Jamaica, Trinidad, Guyana + 10 Caribbean",01708 748551 / 07971 835211,info@westindiesdirect.co.uk,https://www.westindiesdirect.co.uk,Collection bundled into barrel price (any London postcode; 7 days/wk),"£45 empty-barrel delivery; collection incl. in £95-135/barrel",verified-2-0,"High volume (weekly Jamaica sailings); collection is a real cost line inside their £95+ barrels",,,
5,Apex Cargo (Xepa International Ltd),Leicester,East Midlands,"Malawi, Zambia, Kenya, Tanzania, Nigeria, Ghana, Zimbabwe, Jamaica/Caribbean",+44 1162540480,info@apexcargo.co.uk,https://apexcargo.co.uk,Local + claimed nationwide collection,not published,verified-3-0,"Multi-corridor Africa+Caribbean; company no. 11928892; nationwide collection claim = exactly the cost Faira replaces",,,
6,Zan Shipping Services Ltd,Barking,London,"Jamaica, Trinidad, Barbados, Grenada, Guyana + 6 more Caribbean",0808 304 2026,winston@zanshippingservices.com,https://www.zanshippingservices.co.uk,Nationwide doorstep collection (boxes/crates/drums),"bundled (Kingston from £80-95); surcharges for hard collections",verify-by-phone,"Named contact (Winston); 7 days/wk 9-7; volume promos (4+1 free barrels) = real collection demand; verification cut short by rate limit",,,
7,Gee Shipping Ltd (The Caribbean Line),London + Birmingham/Midlands/North coverage,Multi-region,"Jamaica (weekly), Antigua, Barbados, Trinidad + Caribbean; Ghana",0203 086 8311 / 0795 023 1110,info@geeshipping.co.uk,https://www.geeshipping.co.uk,Doorstep collection+delivery London/Birmingham/Midlands/North,"not separated (barrel £129.99 Jamaica)",verify-by-phone,"20+ yrs; West Midlands coverage matches your base; company reg 165 89397; verification cut short by rate limit",,,
8,Pak Direct Cargo Ltd,London (EC2A),London,"Pakistan, Azad Kashmir",0207-112-8444 / 0121 28 58 555 (B'ham) / 0161 85 09 666 (Man),info@pakdirectcargo.com,https://pakdirectcargo.com,Doorstep collection London/Birmingham/Manchester/Coventry + nationwide,"£5/sack handling on top of per-kg rates",verified-source,"Multi-city collection ops incl. Coventry; next-day collection promises = needs reliable van capacity",,,
9,Cargo Lord Ltd,Birmingham (B8 3DG),West Midlands,"Pakistan, India, Europe",0121 328 3232 (B'ham) / 0161 8205029 (Man) / 02036273315 (Lon) / 01204 894915 (Bolton),info@cargolord.com,http://www.cargolord.com,Door-to-door incl. collection,not published,verified-source,"HQ in Birmingham with 4-city UK network; South Asia + Europe corridors; 2026 site copyright",,,
10,AtoZ India Courier,Birmingham (B21 9NN),West Midlands,India,0121 794 2767,info@atozindiacourier.co.uk,https://www.atozindiacourier.co.uk,Free doorstep collection UK-wide,"embedded ~£1/kg premium (£2.50/kg collected vs £1.50 drop-off)",verified-source,"15+ yrs; Birmingham base; 'free' collection means they eat the cost — Faira makes it cheaper than their own vans",,,
11,Sea Cargo to India (AtoZ group),Wembley,London,India,020 3965 7374,info@atozindiacourier.co.uk,https://www.seacargotoindia.co.uk,Free collection anywhere UK mainland,embedded in per-kg rates,verified-source,"Same group as AtoZ; fixed weekly sailings; collection cost is a real internal line item",,,
12,Cargo to Africa,unknown (verify),unknown,"Ghana, Nigeria, Kenya, South Africa, Uganda, Zimbabwe + Caribbean",via website form,info@cargotoafrica.co.uk,https://www.cargotoafrica.co.uk,UK collection + door-to-door advertised,quote-based,verified-3-0,"Widest Africa coverage in list; Mon-Sat; base city needs a phone call to pin down",,,
13,Cargonaija,Wembley (London) + Smethwick drop-off (B'ham),London + West Midlands,"Nigeria, Ghana, Togo, Benin, Cameroon, Ivory Coast, Sierra Leone",02039045521,info@cargonaija.com,https://cargonaija.com,Home collection UK-wide incl. Manchester/Birmingham/Leeds; free in London 20kg+,"£40 handling + postcode-based collection fee",mixed-verification,"West Africa air freight 5-7 days; Birmingham-base claim was refuted (drop-off point only) — treat Wembley as HQ; collection fee varies by postcode",,,
14,Ramsay Shipping Services,London & Home Counties + Northern/West Midlands,Multi-region,"Jamaica, Trinidad, Barbados + 6 Caribbean; East/West/South Africa; South America",see website (per-region numbers),via website,https://ramsayshipping.co.uk,Door-to-door incl. home collection,"'small fee' — unpublished",verify-by-phone,"Two-region ops matching your geography; sells 220L barrels ~£65; verification cut short by rate limit",,,
15,Speedy Cargo Services,Bradford + Oldham/Manchester,Yorkshire/North West,"Pakistan, Azad Kashmir",+44 7739533816 / +44 7960983240,info@speedy-cargo.co.uk,https://www.speedy-cargo.co.uk,Door-to-door about destination delivery; UK collection unclear,not published,verified-source,"UPSELL prospect: small operator (mobile numbers only) — Faira could BE their collection capability rather than replace it",,,
16,Carib Shipping,Catford (London SE6),London,"Jamaica + 11 Caribbean islands",placeholder number on site — verify,via website,https://caribshipping.co.uk,Door-to-door; collection London-only,"parish-priced barrels £337-415 door-to-door; from £90 shipping",verified-3-0-but-contactability-flagged,"25+ yrs claim BUT booking page shows shop-closed and phone looks placeholder — confirm they're still trading before investing time",,,
17,Uni Metro,unknown,unknown,Caribbean,via BarrelCompare listing,unknown,https://barrelcompare.co.uk,unknown,contact for pricing,unverified,"Listed on BarrelCompare comparison site — thin lead, needs research",,,
18,Express Freight Forwarders,London Gateway,London,Caribbean,via BarrelCompare listing,unknown,https://barrelcompare.co.uk,unknown,contact for pricing,unverified,"Listed on BarrelCompare — thin lead",,,
19,Trans P Shipping,unknown,unknown,Caribbean,via BarrelCompare listing,unknown,https://barrelcompare.co.uk,unknown,contact for pricing,unverified,"Listed on BarrelCompare — thin lead",,,
